Country,Year,Value
Republic of Korea,2021,615073
Republic of Korea,2022,731361
Republic of Korea,2023,642601
Republic of Moldova,1995,841
Republic of Moldova,2005,2292
Republic of Moldova,2010,3855
Republic of Moldova,2015,3987
Republic of Moldova,2021,7177
Republic of Moldova,2022,9219
Republic of Moldova,2023,8674
Reunion,1995,2711
Romania,1995,10278
Romania,2005,40463
Romania,2010,62007
Romania,2015,69858
Romania,2021,116402
Romania,2022,132700
Romania,2023,131963
Russian Federation,1995,46710
Russian Federation,2005,98707
Russian Federation,2010,228912
Russian Federation,2015,182782
Russian Federation,2021,293497
Russian Federation,2022,206814
Russian Federation,2023,167883
Rwanda,1995,241
Rwanda,2005,374
Rwanda,2010,1405
Rwanda,2015,2370
Rwanda,2021,3737
Rwanda,2022,5125
Rwanda,2023,5025
Saint Helena,1995,13
Saint Helena,2005,12
Saint Helena,2010,20
Saint Helena,2015,41
Saint Helena,2021,93
Saint Kitts and Nevis,1995,132
Saint Kitts and Nevis,2005,210
Saint Kitts and Nevis,2010,270
Saint Kitts and Nevis,2015,297
Saint Kitts and Nevis,2021,377
Saint Kitts and Nevis,2022,500
Saint Kitts and Nevis,2023,495
Saint Lucia,1995,306
Saint Lucia,2005,486
Saint Lucia,2010,647
Saint Lucia,2015,583
Saint Lucia,2021,888
Saint Lucia,2022,1630
Saint Lucia,2023,1403
Saint Pierre and Miquelon,1995,96
Saint Pierre and Miquelon,2005,216
Saint Pierre and Miquelon,2010,747
Saint Pierre and Miquelon,2015,2259
Saint Pierre and Miquelon,2021,5008
Saint Vincent & Grenadines,1995,134
Saint Vincent & Grenadines,2005,240
Saint Vincent & Grenadines,2010,379
Saint Vincent & Grenadines,2015,334
Saint Vincent & Grenadines,2021,372
Saint Vincent & Grenadines,2022,414
Saint Vincent & Grenadines,2023,815
Samoa,1995,95
Samoa,2005,239
Samoa,2010,310
Samoa,2015,371
Samoa,2021,368
Samoa,2022,440
Samoa,2023,468
Sao Tome and Principe,1995,29
Sao Tome and Principe,2005,50
Sao Tome and Principe,2010,112
Sao Tome and Principe,2015,142
Sao Tome and Principe,2021,166
Sao Tome and Principe,2022,196
Sao Tome and Principe,2023,184
Saudi Arabia,1995,28085
Saudi Arabia,2005,57233
Saudi Arabia,2010,103622
Saudi Arabia,2015,174786
