Country,Year,Value
Nicaragua,2023,2612.869151
Nicaragua,2022,2325.16651
Nicaragua,2021,2128.608668
Nicaragua,2020,1931.612084
Nicaragua,2019,1958.6205
Nicaragua,2018,2035.165472
Niger,2023,642.9379179
Niger,2022,609.7451477
Niger,2021,608.7224216
Niger,2020,579.49232
Niger,2019,562.863733
Niger,2018,577.2770327
Nigeria,2023,1645.510861
Nigeria,2022,2128.866439
Nigeria,2021,2008.544802
Nigeria,2020,2008.904435
Nigeria,2019,2265.149613
Nigeria,2018,2057.871386
Norway,2023,87931.8969
Norway,2022,108804.951
Norway,2021,93076.83359
Norway,2020,68342.57167
Norway,2019,76432.96145
Norway,2018,82795.39894
Oman,2023,20972.48309
Oman,2022,23223.58294
Oman,2021,19403.48353
Oman,2020,16784.842
Oman,2019,19180.20533
Oman,2018,19901.77599
Pakistan,2023,1211.55043
Pakistan,2022,1334.761671
Pakistan,2021,1431.241862
Pakistan,2020,1250.000063
Pakistan,2019,1264.807835
Pakistan,2018,1417.588772
Palau,2023,15899.42252
Palau,2022,14392.19905
Palau,2021,13257.20666
Palau,2020,14556.5897
Palau,2019,15841.19356
Palau,2018,15992.09015
Panama,2023,18700.8089
Panama,2022,17388.42512
Panama,2021,15512.17896
Panama,2020,13296.83893
Panama,2019,16464.40126
Panama,2018,16145.98379
Papua New Guinea,2023,2985.686759
Papua New Guinea,2022,3098.010209
Papua New Guinea,2021,2607.970138
Papua New Guinea,2020,2429.611074
Papua New Guinea,2019,2575.772985
Papua New Guinea,2018,2566.368274
Paraguay,2023,6276.195174
Paraguay,2022,6205.625974
Paraguay,2021,5976.931767
Paraguay,2020,5365.472192
Paraguay,2019,5821.182014
Paraguay,2018,6258.449952
Peru,2023,7906.584586
Peru,2022,7363.27135
Peru,2021,6826.971776
Peru,2020,6133.325177
Peru,2019,7036.386952
Peru,2018,6978.491857
Philippines,2023,3804.872564
Philippines,2022,3548.069316
Philippines,2021,3484.385958
Philippines,2020,3227.579102
Philippines,2019,3400.789521
Philippines,2018,3168.510369
Poland,2023,20875.67924
Poland,2022,18121.50786
Poland,2021,18116.84436
Poland,2020,15873.67497
Poland,2019,15766.37847
Poland,2018,15549.16407
Portugal,2023,27717.52964
Portugal,2022,24661.31082
Portugal,2021,24642.18683
Portugal,2020,22141.49296
Portugal,2019,23214.83373
Portugal,2018,23446.4521
Puerto Rico,2023,36366.89191
Puerto Rico,2022,35041.13586
Puerto Rico,2021,32714.33446
Puerto Rico,2020,31482.61267
Puerto Rico,2019,31972.47712
Puerto Rico,2018,30685.71835
Qatar,2023,71499.47847
Qatar,2022,81491.09518
Qatar,2021,63848.36903
Qatar,2020,51513.39487
Qatar,2019,63036.54309
Qatar,2018,66398.23443
Republic of Korea,2023,35538.22357
Republic of Korea,2022,34748.47102
